Item Type,Rank,Domain,Venue,Total
conferencePaper,A*,HCI,ACSAC,0
conferencePaper,A*,HCI,ARES,0
conferencePaper,A*,HCI,CCS,0
conferencePaper,A*,HCI,CHI,0
conferencePaper,A*,HCI,CS,0
conferencePaper,A*,HCI,ESORICS,0
conferencePaper,A*,HCI,FC,0
conferencePaper,A*,HCI,ISMAR,0
conferencePaper,A*,HCI,NDSS,0
conferencePaper,A*,HCI,PACIFICVIS,0
conferencePaper,A*,HCI,PETS,0
conferencePaper,A*,HCI,SOUPS,0
conferencePaper,A*,HCI,SP,0
conferencePaper,A*,HCI,TODSC,0
conferencePaper,A*,HCI,TOIFS,0
conferencePaper,A*,HCI,TOPS,0
conferencePaper,A*,HCI,TVCG,0
conferencePaper,A*,HCI,TrustCom,0
conferencePaper,A*,HCI,UIST,0
conferencePaper,A*,HCI,USS,0
conferencePaper,A*,HCI,VR,0
conferencePaper,A*,HCI,WiSec,0
conferencePaper,A*,S&P,ACSAC,0
conferencePaper,A*,S&P,ARES,0
conferencePaper,A*,S&P,CCS,0
conferencePaper,A*,S&P,CHI,0
conferencePaper,A*,S&P,CS,0
conferencePaper,A*,S&P,ESORICS,0
conferencePaper,A*,S&P,FC,0
conferencePaper,A*,S&P,ISMAR,0
conferencePaper,A*,S&P,NDSS,0
conferencePaper,A*,S&P,PACIFICVIS,0
conferencePaper,A*,S&P,PETS,0
conferencePaper,A*,S&P,SOUPS,0
conferencePaper,A*,S&P,SP,0
conferencePaper,A*,S&P,TODSC,0
conferencePaper,A*,S&P,TOIFS,0
conferencePaper,A*,S&P,TOPS,0
conferencePaper,A*,S&P,TVCG,0
conferencePaper,A*,S&P,TrustCom,0
conferencePaper,A*,S&P,UIST,0
conferencePaper,A*,S&P,USS,0
conferencePaper,A*,S&P,VR,0
conferencePaper,A*,S&P,WiSec,0
conferencePaper,A,HCI,ACSAC,0
conferencePaper,A,HCI,ARES,0
conferencePaper,A,HCI,CCS,0
conferencePaper,A,HCI,CHI,0
conferencePaper,A,HCI,CS,0
conferencePaper,A,HCI,ESORICS,0
conferencePaper,A,HCI,FC,0
conferencePaper,A,HCI,ISMAR,0
conferencePaper,A,HCI,NDSS,0
conferencePaper,A,HCI,PACIFICVIS,0
conferencePaper,A,HCI,PETS,0
conferencePaper,A,HCI,SOUPS,0
conferencePaper,A,HCI,SP,0
conferencePaper,A,HCI,TODSC,0
conferencePaper,A,HCI,TOIFS,0
conferencePaper,A,HCI,TOPS,0
conferencePaper,A,HCI,TVCG,0
conferencePaper,A,HCI,TrustCom,0
conferencePaper,A,HCI,UIST,0
conferencePaper,A,HCI,USS,0
conferencePaper,A,HCI,VR,0
conferencePaper,A,HCI,WiSec,0
conferencePaper,A,S&P,ACSAC,0
conferencePaper,A,S&P,ARES,0
conferencePaper,A,S&P,CCS,0
conferencePaper,A,S&P,CHI,0
conferencePaper,A,S&P,CS,0
conferencePaper,A,S&P,ESORICS,0
conferencePaper,A,S&P,FC,0
conferencePaper,A,S&P,ISMAR,0
conferencePaper,A,S&P,NDSS,0
conferencePaper,A,S&P,PACIFICVIS,0
conferencePaper,A,S&P,PETS,0
conferencePaper,A,S&P,SOUPS,0
conferencePaper,A,S&P,SP,0
conferencePaper,A,S&P,TODSC,0
conferencePaper,A,S&P,TOIFS,0
conferencePaper,A,S&P,TOPS,0
conferencePaper,A,S&P,TVCG,0
conferencePaper,A,S&P,TrustCom,0
conferencePaper,A,S&P,UIST,0
conferencePaper,A,S&P,USS,0
conferencePaper,A,S&P,VR,0
conferencePaper,A,S&P,WiSec,0
conferencePaper,B,HCI,ACSAC,0
conferencePaper,B,HCI,ARES,0
conferencePaper,B,HCI,CCS,0
conferencePaper,B,HCI,CHI,0
conferencePaper,B,HCI,CS,0
conferencePaper,B,HCI,ESORICS,0
conferencePaper,B,HCI,FC,0
conferencePaper,B,HCI,ISMAR,0
conferencePaper,B,HCI,NDSS,0
conferencePaper,B,HCI,PACIFICVIS,0
conferencePaper,B,HCI,PETS,0
conferencePaper,B,HCI,SOUPS,0
conferencePaper,B,HCI,SP,0
conferencePaper,B,HCI,TODSC,0
conferencePaper,B,HCI,TOIFS,0
conferencePaper,B,HCI,TOPS,0
conferencePaper,B,HCI,TVCG,0
conferencePaper,B,HCI,TrustCom,0
conferencePaper,B,HCI,UIST,0
conferencePaper,B,HCI,USS,0
conferencePaper,B,HCI,VR,0
conferencePaper,B,HCI,WiSec,0
conferencePaper,B,S&P,ACSAC,0
conferencePaper,B,S&P,ARES,0
conferencePaper,B,S&P,CCS,0
conferencePaper,B,S&P,CHI,0
conferencePaper,B,S&P,CS,0
conferencePaper,B,S&P,ESORICS,0
conferencePaper,B,S&P,FC,0
conferencePaper,B,S&P,ISMAR,0
conferencePaper,B,S&P,NDSS,0
conferencePaper,B,S&P,PACIFICVIS,0
conferencePaper,B,S&P,PETS,0
conferencePaper,B,S&P,SOUPS,0
conferencePaper,B,S&P,SP,0
conferencePaper,B,S&P,TODSC,0
conferencePaper,B,S&P,TOIFS,0
conferencePaper,B,S&P,TOPS,0
conferencePaper,B,S&P,TVCG,0
conferencePaper,B,S&P,TrustCom,0
conferencePaper,B,S&P,UIST,0
conferencePaper,B,S&P,USS,0
conferencePaper,B,S&P,VR,0
conferencePaper,B,S&P,WiSec,0
journalPaper,A*,HCI,ACSAC,0
journalPaper,A*,HCI,ARES,0
journalPaper,A*,HCI,CCS,0
journalPaper,A*,HCI,CHI,0
journalPaper,A*,HCI,CS,0
journalPaper,A*,HCI,ESORICS,0
journalPaper,A*,HCI,FC,0
journalPaper,A*,HCI,ISMAR,0
journalPaper,A*,HCI,NDSS,0
journalPaper,A*,HCI,PACIFICVIS,0
journalPaper,A*,HCI,PETS,0
journalPaper,A*,HCI,SOUPS,0
journalPaper,A*,HCI,SP,0
journalPaper,A*,HCI,TODSC,0
journalPaper,A*,HCI,TOIFS,0
journalPaper,A*,HCI,TOPS,0
journalPaper,A*,HCI,TVCG,0
journalPaper,A*,HCI,TrustCom,0
journalPaper,A*,HCI,UIST,0
journalPaper,A*,HCI,USS,0
journalPaper,A*,HCI,VR,0
journalPaper,A*,HCI,WiSec,0
journalPaper,A*,S&P,ACSAC,0
journalPaper,A*,S&P,ARES,0
journalPaper,A*,S&P,CCS,0
journalPaper,A*,S&P,CHI,0
journalPaper,A*,S&P,CS,0
journalPaper,A*,S&P,ESORICS,0
journalPaper,A*,S&P,FC,0
journalPaper,A*,S&P,ISMAR,0
journalPaper,A*,S&P,NDSS,0
journalPaper,A*,S&P,PACIFICVIS,0
journalPaper,A*,S&P,PETS,0
journalPaper,A*,S&P,SOUPS,0
journalPaper,A*,S&P,SP,0
journalPaper,A*,S&P,TODSC,0
journalPaper,A*,S&P,TOIFS,0
journalPaper,A*,S&P,TOPS,0
journalPaper,A*,S&P,TVCG,0
journalPaper,A*,S&P,TrustCom,0
journalPaper,A*,S&P,UIST,0
journalPaper,A*,S&P,USS,0
journalPaper,A*,S&P,VR,0
journalPaper,A*,S&P,WiSec,0
journalPaper,A,HCI,ACSAC,0
journalPaper,A,HCI,ARES,0
journalPaper,A,HCI,CCS,0
journalPaper,A,HCI,CHI,0
journalPaper,A,HCI,CS,0
journalPaper,A,HCI,ESORICS,0
journalPaper,A,HCI,FC,0
journalPaper,A,HCI,ISMAR,0
journalPaper,A,HCI,NDSS,0
journalPaper,A,HCI,PACIFICVIS,0
journalPaper,A,HCI,PETS,0
journalPaper,A,HCI,SOUPS,0
journalPaper,A,HCI,SP,0
journalPaper,A,HCI,TODSC,0
journalPaper,A,HCI,TOIFS,0
journalPaper,A,HCI,TOPS,0
journalPaper,A,HCI,TVCG,0
journalPaper,A,HCI,TrustCom,0
journalPaper,A,HCI,UIST,0
journalPaper,A,HCI,USS,0
journalPaper,A,HCI,VR,0
journalPaper,A,HCI,WiSec,0
journalPaper,A,S&P,ACSAC,0
journalPaper,A,S&P,ARES,0
journalPaper,A,S&P,CCS,0
journalPaper,A,S&P,CHI,0
journalPaper,A,S&P,CS,0
journalPaper,A,S&P,ESORICS,0
journalPaper,A,S&P,FC,0
journalPaper,A,S&P,ISMAR,0
journalPaper,A,S&P,NDSS,0
journalPaper,A,S&P,PACIFICVIS,0
journalPaper,A,S&P,PETS,0
journalPaper,A,S&P,SOUPS,0
journalPaper,A,S&P,SP,0
journalPaper,A,S&P,TODSC,0
journalPaper,A,S&P,TOIFS,0
journalPaper,A,S&P,TOPS,0
journalPaper,A,S&P,TVCG,0
journalPaper,A,S&P,TrustCom,0
journalPaper,A,S&P,UIST,0
journalPaper,A,S&P,USS,0
journalPaper,A,S&P,VR,0
journalPaper,A,S&P,WiSec,0
journalPaper,B,HCI,ACSAC,0
journalPaper,B,HCI,ARES,0
journalPaper,B,HCI,CCS,0
journalPaper,B,HCI,CHI,0
journalPaper,B,HCI,CS,0
journalPaper,B,HCI,ESORICS,0
journalPaper,B,HCI,FC,0
journalPaper,B,HCI,ISMAR,0
journalPaper,B,HCI,NDSS,0
journalPaper,B,HCI,PACIFICVIS,0
journalPaper,B,HCI,PETS,0
journalPaper,B,HCI,SOUPS,0
journalPaper,B,HCI,SP,0
journalPaper,B,HCI,TODSC,0
journalPaper,B,HCI,TOIFS,0
journalPaper,B,HCI,TOPS,0
journalPaper,B,HCI,TVCG,0
journalPaper,B,HCI,TrustCom,0
journalPaper,B,HCI,UIST,0
journalPaper,B,HCI,USS,0
journalPaper,B,HCI,VR,0
journalPaper,B,HCI,WiSec,0
journalPaper,B,S&P,ACSAC,0
journalPaper,B,S&P,ARES,0
journalPaper,B,S&P,CCS,0
journalPaper,B,S&P,CHI,0
journalPaper,B,S&P,CS,0
journalPaper,B,S&P,ESORICS,0
journalPaper,B,S&P,FC,0
journalPaper,B,S&P,ISMAR,0
journalPaper,B,S&P,NDSS,0
journalPaper,B,S&P,PACIFICVIS,0
journalPaper,B,S&P,PETS,0
journalPaper,B,S&P,SOUPS,0
journalPaper,B,S&P,SP,0
journalPaper,B,S&P,TODSC,0
journalPaper,B,S&P,TOIFS,0
journalPaper,B,S&P,TOPS,0
journalPaper,B,S&P,TVCG,0
journalPaper,B,S&P,TrustCom,0
journalPaper,B,S&P,UIST,0
journalPaper,B,S&P,USS,0
journalPaper,B,S&P,VR,0
journalPaper,B,S&P,WiSec,0
