Year,Metaverse,,,,,,,,
2023,Mirror World,,,,,,,,
2023,Augmented Reality,,,,,,,,
2023,Virtual World,,,Count of Metaverse,Column Labels,,,,
2023,Mirror World,,,Row Labels,Augmented Reality,Lifelogging,Mirror World,Virtual World,Grand Total
2023,Augmented Reality,,,2014,2,2,0,0,4
2023,Lifelogging,,,2015,5,2,0,1,8
2023,Augmented Reality,,,2016,2,2,0,1,5
2023,Virtual World,,,2017,3,1,1,1,6
2022,Virtual World,,,2018,1,1,0,1,3
2022,Mirror World,,,2019,5,6,2,4,17
2022,Augmented Reality,,,2020,1,3,0,2,6
2022,Lifelogging,,,2021,5,9,5,12,31
2022,Augmented Reality,,,2022,7,6,5,9,27
2021,Virtual World,,,2023,10,15,10,21,56
2021,Lifelogging,,,Grand Total,41,47,23,52,163
2021,Augmented Reality,,,,,,,,
2021,Virtual World,,,,,,,,
2021,Virtual World,,,,,,,,
2021,Mirror World,,,,,,,,
2021,Augmented Reality,,,,,,,,
2021,Lifelogging,,,,,,,,
2020,Virtual World,,,,,,,,
2020,Lifelogging,,,,,,,,
2019,Augmented Reality,,,,,,,,
2019,Virtual World,,,,,,,,
2019,Virtual World,,,,,,,,
2019,Lifelogging,,,,,,,,
2017,Augmented Reality,,,,,,,,
2017,Virtual World,,,,,,,,
2017,Mirror World,,,,,,,,
2017,Augmented Reality,,,,,,,,
2017,Lifelogging,,,,,,,,
2017,Augmented Reality,,,,,,,,
2016,Augmented Reality,,,,,,,,
2016,Lifelogging,,,,,,,,
2015,Augmented Reality,,,,,,,,
2023,Virtual World,,,,,,,,
2023,Lifelogging,,,,,,,,
2023,Virtual World,,,,,,,,
2023,Mirror World,,,,,,,,
2023,Lifelogging,,,,,,,,
2023,Virtual World,,,,,,,,
2023,Mirror World,,,,,,,,
2023,Augmented Reality,,,,,,,,
2023,Lifelogging,,,,,,,,
2023,Virtual World,,,,,,,,
2023,Virtual World,,,,,,,,
2023,Augmented Reality,,,,,,,,
2023,Virtual World,,,,,,,,
2023,Virtual World,,,,,,,,
2023,Virtual World,,,,,,,,
2023,Virtual World,,,,,,,,
2023,Mirror World,,,,,,,,
2023,Lifelogging,,,,,,,,
2023,Mirror World,,,,,,,,
2022,Virtual World,,,,,,,,
2022,Virtual World,,,,,,,,
2022,Virtual World,,,,,,,,
2022,Mirror World,,,,,,,,
2022,Augmented Reality,,,,,,,,
2022,Virtual World,,,,,,,,
2022,Lifelogging,,,,,,,,
2022,Virtual World,,,,,,,,
2021,Virtual World,,,,,,,,
2021,Lifelogging,,,,,,,,
2021,Virtual World,,,,,,,,
2021,Virtual World,,,,,,,,
2021,Virtual World,,,,,,,,
2019,Augmented Reality,,,,,,,,
2019,Lifelogging,,,,,,,,
2019,Augmented Reality,,,,,,,,
2019,Lifelogging,,,,,,,,
2019,Virtual World,,,,,,,,
2019,Lifelogging,,,,,,,,
2018,Augmented Reality,,,,,,,,
2016,Augmented Reality,,,,,,,,
2015,Augmented Reality,,,,,,,,
2015,Lifelogging,,,,,,,,
2015,Augmented Reality,,,,,,,,
2015,Virtual World,,,,,,,,
2015,Augmented Reality,,,,,,,,
2014,Augmented Reality,,,,,,,,
2014,Lifelogging,,,,,,,,
2023,Virtual World,,,,,,,,
2023,Mirror World,,,,,,,,
2023,Lifelogging,,,,,,,,
2023,Virtual World,,,,,,,,
2022,Augmented Reality,,,,,,,,
2019,Mirror World,,,,,,,,
2019,Augmented Reality,,,,,,,,
2019,Lifelogging,,,,,,,,
2023,Augmented Reality,,,,,,,,
2023,Virtual World,,,,,,,,
2023,Mirror World,,,,,,,,
2023,Lifelogging,,,,,,,,
2022,Mirror World,,,,,,,,
2022,Augmented Reality,,,,,,,,
2014,Augmented Reality,,,,,,,,
2014,Lifelogging,,,,,,,,
2023,Virtual World,,,,,,,,
2023,Virtual World,,,,,,,,
2023,Lifelogging,,,,,,,,
2023,Virtual World,,,,,,,,
2023,Lifelogging,,,,,,,,
2023,Augmented Reality,,,,,,,,
2023,Lifelogging,,,,,,,,
2023,Virtual World,,,,,,,,
2023,Mirror World,,,,,,,,
2023,Augmented Reality,,,,,,,,
2023,Lifelogging,,,,,,,,
2023,Virtual World,,,,,,,,
2023,Augmented Reality,,,,,,,,
2023,Lifelogging,,,,,,,,
2023,Virtual World,,,,,,,,
2023,Mirror World,,,,,,,,
2023,Lifelogging,,,,,,,,
2023,Augmented Reality,,,,,,,,
2023,Lifelogging,,,,,,,,
2023,Virtual World,,,,,,,,
2023,Lifelogging,,,,,,,,
2022,Virtual World,,,,,,,,
2022,Lifelogging,,,,,,,,
2022,Mirror World,,,,,,,,
2022,Augmented Reality,,,,,,,,
2022,Lifelogging,,,,,,,,
2022,Mirror World,,,,,,,,
2022,Augmented Reality,,,,,,,,
2022,Virtual World,,,,,,,,
2022,Lifelogging,,,,,,,,
2022,Virtual World,,,,,,,,
2022,Lifelogging,,,,,,,,
2021,Mirror World,,,,,,,,
2021,Lifelogging,,,,,,,,
2021,Virtual World,,,,,,,,
2021,Lifelogging,,,,,,,,
2021,Virtual World,,,,,,,,
2021,Lifelogging,,,,,,,,
2021,Virtual World,,,,,,,,
2021,Mirror World,,,,,,,,
2021,Lifelogging,,,,,,,,
2021,Augmented Reality,,,,,,,,
2021,Virtual World,,,,,,,,
2021,Mirror World,,,,,,,,
2021,Augmented Reality,,,,,,,,
2021,Lifelogging,,,,,,,,
2021,Virtual World,,,,,,,,
2021,Mirror World,,,,,,,,
2021,Augmented Reality,,,,,,,,
2021,Lifelogging,,,,,,,,
2020,Virtual World,,,,,,,,
2020,Lifelogging,,,,,,,,
2020,Augmented Reality,,,,,,,,
2020,Lifelogging,,,,,,,,
2019,Virtual World,,,,,,,,
2019,Mirror World,,,,,,,,
2019,Augmented Reality,,,,,,,,
2019,Lifelogging,,,,,,,,
2018,Virtual World,,,,,,,,
2018,Lifelogging,,,,,,,,
2016,Virtual World,,,,,,,,
2016,Lifelogging,,,,,,,,
2015,Augmented Reality,,,,,,,,
2015,Lifelogging,,,,,,,,
